,LONGITUDE,LATITUDE,FLOOR,BUILDINGID,SPACEID,RELATIVEPOSITION
14651,-7367.458799999206,4864841.782799996,1,2,117,2
16771,-7594.264100000262,4864982.456100002,3,0,108,2
17601,-7596.2032000012705,4864981.900200002,3,0,107,2
6651,-7322.587600000203,4864821.443499997,0,2,103,2
86,-7384.211300000548,4864776.0964,3,2,222,2
4801,-7535.227970089763,4864893.273838371,3,1,113,1
17379,-7661.473499998449,4864934.3435999965,3,0,228,2
18177,-7635.299400001764,4864966.343500003,3,0,130,2
15974,-7589.062399998307,4864985.529100001,3,0,110,2
871,-7349.279599998145,4864758.806000002,3,2,237,2
13233,-7533.837600000203,4864939.373000003,0,1,122,2
10329,-7659.935300000012,4864938.7962,1,0,214,2
2133,-7352.339699998499,4864837.9498,3,2,110,2
9767,-7311.216361027211,4864796.4609578485,2,2,138,1
5431,-7352.664768945426,4864829.44932691,0,2,124,1
3833,-7435.067499998958,4864878.1545,0,1,222,2
1262,-7407.406300000846,4864799.5983000025,4,2,201,2
4807,-7568.72309999913,4864876.6818,3,1,107,2
17341,-7639.7153999991715,4865007.160400003,3,0,126,2
7277,-7643.428199999034,4864927.950800002,2,0,202,2
13507,-7317.526099998503,4864794.559299998,3,2,137,2
4552,-7466.963700000197,4864820.413199998,1,1,210,2
18786,-7324.582886133344,4864813.8198470175,1,2,129,1
12574,-7500.175299998373,4864879.856799996,0,1,1,2
14477,-7312.662200000137,4864807.624899998,3,2,133,2
4214,-7373.052799999715,4864844.886500001,1,2,116,2
9242,-7535.209515403956,4864948.090411805,1,1,105,1
205,-7362.526500001551,4864764.065700002,3,2,230,2
17584,-7637.842599999159,4865000.627700001,2,0,129,2
2038,-7410.865299999715,4864797.881499998,2,2,201,2
7601,-7645.088700000197,4864948.9595,0,0,201,2
14128,-7381.754700001329,4864845.757299997,3,2,102,2
4385,-7404.491683006287,4864890.4166426435,0,1,244,1
5992,-7466.963700000197,4864820.413199998,2,1,211,2
429,-7352.9321568608275,4864754.565126285,3,2,236,1
18090,-7667.3517999984315,4864936.670500003,2,0,218,2
2657,-7313.731119778006,4864792.063410872,4,2,141,1
13159,-7541.168800000101,4864920.726800002,1,1,106,2
18608,-7318.341099999845,4864814.532499999,1,2,130,2
2322,-7404.464299999178,4864809.152999997,3,2,254,2
9834,-7667.339800000191,4864936.697800003,0,0,211,2
17599,-7601.616200000048,4864980.348899998,3,0,106,2
5852,-7352.664768945426,4864829.44932691,0,2,124,1
17290,-7587.102299999446,4864986.090999998,2,0,109,2
12403,-7489.9197999984035,4864901.8900000015,0,1,6,2
13269,-7318.341099999845,4864814.532499999,2,2,133,2
1086,-7355.670499999076,4864760.262000002,3,2,234,2
15073,-7441.9341934248805,4864872.437265873,0,1,222,1
444,-7510.437173217535,4864949.2514167065,2,1,103,1
2016,-7345.42330000177,4864829.557700002,3,2,119,2
6542,-7351.981125298886,4864843.493344098,0,2,140,1
16996,-7646.286299999803,4864932.3486,2,0,234,2
4185,-7311.919399999082,4864808.963799998,1,2,132,2
11541,-7571.093199998141,4864871.718699999,1,1,109,2
7839,-7352.339699998499,4864837.9498,3,2,110,2
9699,-7536.565799999982,4864934.328000002,1,1,106,2
12691,-7510.211205821484,4864949.287095763,1,1,103,1
6777,-7435.179900001734,4864861.733400002,3,1,201,2
15192,-7417.502300001681,4864893.0326000005,1,1,203,2
8497,-7639.690999999642,4864914.912799999,1,0,205,2
6114,-7414.873469986021,4864881.276651077,2,1,202,1
13289,-7555.068599998952,4864885.213299997,1,1,107,2
5178,-7404.436200000346,4864808.869900003,0,2,215,2
18990,-7388.631314467639,4864843.906318991,0,2,134,1
3339,-7372.802999999374,4864849.302699998,1,2,106,2
3928,-7332.1088000014415,4864822.170999996,1,2,126,2
1895,-7338.66330000013,4864826.254299998,3,2,120,2
7484,-7559.442699998617,4864887.620300001,1,1,110,2
13064,-7338.66330000013,4864826.254299998,3,2,120,2
5294,-7411.353135820478,4864802.929530874,0,2,201,1
14102,-7559.442699998617,4864887.620300001,1,1,110,2
3498,-7310.700860090554,4864800.670677118,1,2,134,1
8662,-7643.428199999034,4864927.950800002,3,0,202,2
10274,-7634.5003999993205,4864984.319200002,0,0,123,2
5601,-7381.292899999766,4864778.532499999,0,2,204,2
12066,-7366.449900001286,4864770.2973000035,1,2,224,2
4546,-7463.9465345703065,4864836.803314826,0,1,203,1
5694,-7425.661100000143,4864873.132700004,3,1,201,2
840,-7396.896099999547,4864785.223499998,3,2,213,2
13688,-7360.497299998999,4864837.920500003,3,2,115,2
9017,-7638.814300000668,4864999.2282000035,2,0,121,2
3605,-7379.799400001764,4864849.157899998,1,2,103,2
9798,-7367.458799999206,4864841.782799996,2,2,120,2
19286,-7336.2989999987185,4864829.050399996,0,2,107,2
5515,-7338.753299999982,4864825.8571000025,0,2,110,2
16358,-7596.2032000012705,4864981.900200002,1,0,107,2
10510,-7683.855900000781,4864930.357900001,3,0,225,2
6545,-7353.69530000165,4864834.147,0,2,126,2
4470,-7316.4574000015855,4864800.7843,1,2,135,2
13538,-7568.939100001007,4864876.265799998,0,1,113,2
10019,-7639.7153999991715,4865007.160400003,3,0,126,2
12415,-7511.563299998641,4864853.561099999,1,1,7,2
3023,-7321.037900000811,4864820.583700001,4,2,117,2
4222,-7445.557873841374,4864826.589670561,0,1,202,1
7439,-7312.662200000137,4864807.624899998,3,2,133,2
8815,-7390.734700001776,4864835.034999996,2,2,144,2
527,-7368.386100001633,4864769.406199999,3,2,227,2
705,-7331.747999999671,4864767.318000004,3,2,247,2
18281,-7587.102299999446,4864986.090999998,1,0,109,2
4371,-7468.870245195925,4864827.937682956,0,1,248,1
8623,-7633.386599998921,4864970.1708,3,0,131,2
10349,-7643.092399999499,4864947.8138,1,0,228,2
13954,-7537.2410000003865,4864895.7321000025,1,1,117,2
18880,-7318.341099999845,4864814.532499999,1,2,130,2
4333,-7324.080699998885,4864817.717,1,2,129,2
6961,-7424.753289464861,4864863.324751288,3,1,201,1
12512,-7541.168800000101,4864920.726800002,1,1,106,2
2936,-7359.913360092789,4864833.420775658,4,2,129,1
9283,-7382.916102800517,4864854.208545767,2,2,104,1
19157,-7309.849300000817,4864812.695299998,1,2,114,2
1787,-7375.182999998331,4864773.673,2,2,214,2
12345,-7541.168800000101,4864920.726800002,1,1,106,2
14654,-7376.631799999624,4864855.089699999,1,2,104,2
19099,-7365.719614882021,4864851.11348962,0,2,139,1
621,-7415.163003530352,4864796.084482223,3,2,203,1
12627,-7334.819400001317,4864828.2295999965,4,2,115,2
5558,-7457.242100000381,4864853.930299997,2,1,216,2
5631,-7351.266699999572,4864837.354500003,0,2,140,2
9430,-7691.338399998844,4864928.212899998,1,0,222,2
19739,-7398.534499999136,4864788.097900003,1,2,202,2
3581,-7469.88919999823,4864815.057400003,1,1,209,2
9446,-7640.289599999785,4865009.164800003,1,0,125,2
12032,-7404.436200000346,4864808.869900003,1,2,215,2
558,-7555.132300000639,4864885.251500003,2,1,107,2
6445,-7360.5392999984315,4864837.943800002,0,2,128,2
12130,-7345.42330000177,4864829.557700002,4,2,132,2
39,-7470.518699999899,4864863.662799999,2,1,26,2
8843,-7321.03830000013,4864820.583800003,2,2,113,2
17413,-7645.088700000197,4864948.9595,0,0,201,2
14923,-7336.2989999987185,4864829.050399996,1,2,111,2
2279,-7398.11080000177,4864785.8972999975,3,2,211,2
8227,-7638.807999998331,4864907.044100001,3,0,212,2
18332,-7676.643599998206,4864934.006999998,1,0,219,2
15817,-7587.102299999446,4864986.090999998,1,0,109,2
17333,-7617.124800000341,4864979.609499998,3,0,114,2
17796,-7633.205600000918,4864965.108800001,1,0,128,2
4247,-7423.060899998993,4864877.686099999,0,1,246,2
11791,-7315.743400000036,4864802.071500003,1,2,134,2
19451,-7520.755800001323,4864891.4821000025,3,1,14,2
7992,-7366.242400001734,4864841.108000003,2,2,121,2
6834,-7322.587600000203,4864821.443499997,0,2,103,2
19913,-7405.654399998486,4864801.9548999965,1,2,201,2
14611,-7390.184700001031,4864838.919100001,1,2,143,2
10853,-7641.899399999529,4865014.780100003,2,0,126,2
2014,-7359.331099998206,4864837.273500003,3,2,116,2
7047,-7439.543800000101,4864864.079400003,2,1,206,2
17252,-7636.083599999547,4864897.538199998,2,0,209,2
19200,-7336.2989999987185,4864829.050399996,0,2,107,2
11507,-7313.731119778006,4864792.063410872,3,2,136,1
6673,-7427.074479050933,4864903.08147952,2,1,204,1
6341,-7384.673000000417,4864840.373300001,0,2,134,2
8629,-7616.688900001346,4864976.028099999,3,0,102,2
16583,-7637.175999999045,4864901.254699999,0,0,226,2
6426,-7390.548551443963,4864840.4913816005,0,2,133,1
18450,-7628.134500000626,4864977.021200001,3,0,135,2
5679,-7443.8776770718405,4864873.551518895,2,1,206,1
19754,-7496.900899998844,4864897.221900001,3,1,2,2
1808,-7377.096400000155,4864854.1538999975,3,2,105,2
878,-7527.451099999249,4864929.146399997,2,1,101,2
10312,-7636.960200000554,4864905.659699999,0,0,227,2
1963,-7329.376800000668,4864825.210199997,3,2,129,2
879,-7524.570399999618,4864934.093000002,2,1,102,2
16120,-7643.428199999034,4864927.950800002,1,0,202,2
1301,-7489.177499998361,4864899.944899999,2,1,10,2
14159,-7316.680700000374,4864814.058700003,3,2,127,2
8404,-7311.216361027211,4864796.4609578485,2,2,138,1
12735,-7352.339699998499,4864837.949699998,4,2,113,2
1549,-7491.030633945018,4864865.38593483,2,1,2,1
5383,-7435.067499998958,4864878.1545,3,1,204,2
8001,-7377.078269988298,4864842.961438999,2,2,118,1
17831,-7643.117800001055,4864947.830799997,2,0,230,2
14554,-7374.897300001234,4864855.5392,1,2,105,2
7462,-7528.608068633825,4864959.505251184,1,1,104,1
7189,-7659.935300000012,4864938.7962,1,0,214,2
552,-7510.437173217535,4864949.2514167065,2,1,103,1
13613,-7568.86100000143,4864876.416199997,1,1,111,2
15325,-7332.1088000014415,4864822.170999996,1,2,126,2
13847,-7373.052799999715,4864844.886500001,3,2,112,2
778,-7564.196299999952,4864887.1932,2,1,111,2
5037,-7300.818990092725,4864817.599367015,0,2,122,1
10334,-7676.643599998206,4864934.006999998,1,0,219,2
5951,-7353.69530000165,4864834.147,0,2,126,2
8853,-7310.700860090554,4864800.670677118,2,2,137,1
16834,-7685.723499998449,4864929.890299998,0,0,218,2
14162,-7323.891800001264,4864818.059199996,3,2,125,2
2704,-7336.700399998575,4864764.478799999,3,2,246,2
19254,-7384.673000000417,4864840.373300001,0,2,134,2
16743,-7634.477000001818,4864984.097499996,2,0,117,2
12619,-7330.786899998784,4864821.437299997,4,2,136,2
19172,-7384.673000000417,4864840.373300001,0,2,134,2
4726,-7318.694800000639,4864795.302100003,0,2,118,2
14508,-7379.799400001764,4864849.157899998,1,2,103,2
7342,-7650.165600001811,4864937.056900002,3,0,234,2
12821,-7370.0106999985865,4864847.7535,4,2,108,2
1729,-7341.308100000025,4864756.173699996,2,2,213,2
15337,-7312.662200000137,4864807.624899998,1,2,133,2
18472,-7638.807999998331,4864907.044100001,3,0,212,2
8804,-7571.093199998141,4864871.718699999,1,1,109,2
1379,-7526.5542669668785,4864919.341289513,2,1,101,1
3501,-7318.341099999845,4864814.532499999,1,2,130,2
18630,-7377.830699998885,4864852.706600003,0,2,137,2
11373,-7603.5650999993095,4864979.790100001,3,0,105,2
17079,-7641.3297999985525,4864920.629500002,3,0,204,2
13072,-7374.347500000149,4864845.604699999,3,2,111,2
13485,-7375.028700001538,4864855.459899999,3,2,106,2
7162,-7646.339299999178,4864932.2717999965,0,0,235,2
14493,-7331.918400000781,4864822.512199998,3,2,122,2
5115,-7405.681699998677,4864801.905699998,0,2,201,2
250,-7506.731899999082,4864850.683999999,2,1,4,2
8188,-7631.8949000015855,4864981.9169000015,3,0,137,2
17682,-7643.993799999355,4864930.197999999,0,0,234,2
10753,-7676.627099998294,4864934.035599999,0,0,214,2
201,-7369.414400000124,4864767.887100004,3,2,226,2
8867,-7318.341099999845,4864814.532499999,2,2,133,2
6259,-7365.719614882021,4864851.11348962,0,2,139,1
10032,-7639.690999999642,4864914.912799999,3,0,205,2
12733,-7366.095899999142,4864845.581600003,4,2,109,2
16069,-7636.633000001311,4864991.830600001,0,0,125,2
14890,-7470.539500001818,4864863.624300003,1,1,26,2
18949,-7314.611699998379,4864800.712399997,0,2,119,2
12213,-7337.716099999845,4864825.2817,4,2,134,2
11751,-7316.906800001859,4864818.291699998,1,2,113,2
18454,-7631.8949000015855,4864981.9169000015,3,0,137,2
4087,-7445.557873841374,4864826.589670561,0,1,202,1
12869,-7536.4928999990225,4864918.059600003,1,1,101,2
3356,-7309.849300000817,4864812.695299998,1,2,114,2
2351,-7337.716099999845,4864825.2817,4,2,134,2
13093,-7377.061700001359,4864851.720700003,2,2,105,2
10866,-7589.062399998307,4864985.529100001,2,0,110,2
16980,-7646.805700000374,4864925.951300004,2,0,214,2
7067,-7385.426100000738,4864839.015600003,0,2,133,2
9318,-7316.963899999857,4864795.2365000015,2,2,139,2
15074,-7425.728100001811,4864901.3354,0,1,239,2
8914,-7641.030099999159,4865006.826700002,0,0,129,2
9952,-7594.736999999732,4864983.902400002,2,0,111,2
13274,-7338.857999999076,4864825.9152000025,2,2,127,2
16684,-7647.626299999654,4864944.457699999,1,0,230,2
8910,-7632.143599998206,4864982.217100002,0,0,122,2
15430,-7324.080699998885,4864817.717,1,2,129,2
19452,-7470.539500001818,4864863.624300003,3,1,11,2
9466,-7635.040800001472,4864986.063900001,2,0,118,2
4637,-7527.402600001544,4864929.238300003,3,1,101,2
198,-7374.294482905418,4864777.897182643,3,2,223,1
7184,-7643.428199999034,4864927.950800002,1,0,202,2
7424,-7338.66330000013,4864826.254299998,3,2,120,2
19633,-7523.601199999452,4864951.943599999,3,1,103,2
15686,-7411.328600000591,4864885.4059000015,0,1,245,2
3097,-7331.747999999671,4864767.318000004,3,2,247,2
6935,-7311.829500000924,4864805.7271,0,2,120,2
15395,-7417.502300001681,4864893.0326000005,1,1,203,2
5814,-7401.9961999990055,4864790.018399999,0,2,202,2
11926,-7308.779111966491,4864804.134827018,1,2,133,1
6600,-7423.060899998993,4864877.686099999,3,1,202,2
18032,-7640.289599999785,4865009.164800003,1,0,125,2
858,-7369.632300000639,4864770.0979999965,3,2,225,2
16384,-7641.812300000341,4864922.313900001,1,0,203,2
3545,-7458.381099998952,4864852.149700001,0,1,213,2
19479,-7516.1983999982485,4864889.940200001,3,1,4,2
2590,-7369.414400000124,4864767.887100004,3,2,226,2
3782,-7324.080699998885,4864817.717,1,2,129,2
5561,-7453.059500001371,4864828.6049000025,2,1,207,2
17128,-7641.771899998189,4864922.445900002,0,0,232,2
3474,-7359.192999999971,4864841.751800002,1,2,108,2
309,-7369.414400000124,4864767.887100004,3,2,226,2
13766,-7559.78200000152,4864871.373499997,1,1,107,2
8924,-7656.6356999985865,4864938.0260000015,0,0,208,2
12785,-7311.919399999082,4864808.963799998,4,2,120,2
19695,-7384.873199999332,4864780.518600002,1,2,204,2
11530,-7545.474832799286,4864929.947813578,1,1,106,1
19930,-7516.1983999982485,4864889.940200001,3,1,4,2
2731,-7309.517499998212,4864813.293499999,4,2,143,2
221,-7536.6211999990055,4864934.2251999965,2,1,106,2
7308,-7633.386599998921,4864970.1708,3,0,131,2
3005,-7408.338870193808,4864811.529825352,3,2,253,1
1411,-7480.124099999665,4864894.9306000015,2,1,10,2
902,-7480.124099999665,4864894.9306000015,2,1,10,2
6251,-7377.133499998598,4864851.760499999,0,2,138,2
3541,-7468.870245195925,4864827.937682956,0,1,248,1
4669,-7314.611699998379,4864800.712399997,0,2,119,2
18246,-7650.165600001811,4864937.056900002,0,0,236,2
16082,-7611.0564999990165,4864981.801700003,0,0,120,2
8434,-7366.751436967404,4864837.214649305,2,2,121,1
10584,-7311.919399999082,4864808.963799998,3,2,132,2
19032,-7359.192999999971,4864841.751800002,1,2,108,2
577,-7502.826900001615,4864860.174599998,2,1,3,2
19086,-7377.830699998885,4864852.706600003,0,2,137,2
12207,-7330.786899998784,4864821.437299997,4,2,136,2
7549,-7325.23409999907,4864818.356799996,2,2,131,2
12166,-7502.8467999994755,4864860.1862,1,1,3,2
14022,-7555.236299999057,4864885.3138,0,1,108,2
238,-7520.724500000478,4864892.4384,2,1,15,2
10045,-7667.3517999984315,4864936.670500003,3,0,217,2
10636,-7549.37943457067,4864878.413713895,1,1,107,1
3089,-7348.8982000015685,4864756.556000002,3,2,238,2
12510,-7541.168800000101,4864920.726800002,1,1,106,2
18762,-7352.348799999803,4864837.9547000015,1,2,109,2
16760,-7635.6803999990225,4864966.449299999,2,0,133,2
13134,-7367.458799999206,4864841.782799996,2,2,120,2
14137,-7366.095899999142,4864845.581600003,3,2,108,2
859,-7362.526500001551,4864764.065700002,3,2,230,2
17355,-7644.034899998456,4864930.066799998,3,0,201,2
6158,-7318.694800000639,4864795.302100003,0,2,118,2
4221,-7466.445299256593,4864859.364375353,0,1,10,1
4283,-7423.060899998993,4864877.686099999,1,1,202,2
172,-7408.288427382708,4864803.464716807,3,2,201,1
19322,-7503.662099998443,4864884.812600002,3,1,1,2
1299,-7480.124099999665,4864894.9306000015,2,1,10,2
11729,-7366.449900001286,4864770.2973000035,1,2,224,2
14379,-7308.869500000029,4864814.4614999965,2,2,117,2
13819,-7315.637699998915,4864817.5876,3,2,130,2
11573,-7377.296035300941,4864860.055810973,2,2,105,1
3861,-7463.9465345703065,4864836.803314826,0,1,203,1
11773,-7363.159000001848,4864768.471699998,1,2,224,2
7353,-7637.002300001681,4864905.532300003,3,0,208,2
4764,-7375.98580000177,4864772.226599999,0,2,211,2
9310,-7312.981300000101,4864798.747699998,2,2,138,2
744,-7369.632300000639,4864770.0979999965,3,2,225,2
766,-7541.264299999922,4864920.7782000005,2,1,106,2
6175,-7352.555199999361,4864833.5141,0,2,124,2
2962,-7399.109700001776,4864784.361699998,3,2,212,2
15274,-7427.868400000036,4864896.747000001,0,1,227,2
6485,-7425.6438000015905,4864873.1670999965,2,1,201,2
